pin,slack
FlashFreeze_SB_0/CORERESET_FF_0_0/CORERESET_FF_0_0/MSS_HPMS_READY_int_4:Y,6827
dot_osd_integration_0/overlay/x_cnt_RNIOOMJC[2]:B,6696
dot_osd_integration_0/overlay/x_cnt_RNIOOMJC[2]:FCI,5578
dot_osd_integration_0/overlay/x_cnt_RNIOOMJC[2]:FCO,5578
dot_osd_integration_0/overlay/x_cnt_RNIOOMJC[2]:S,6618
line_write_read_0/Image_Enhancement_0/un1_b_const_i_muladd_0[35_18]/U0/FF_33:IPENn,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_176:IPA,
FlashFreeze_SB_0/FlashFreeze_SB_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_176:IPB,
data_o_obuf[3]/U0/U_IOOUTFF:A,
data_o_obuf[3]/U0/U_IOOUTFF:Y,
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[0]:B,5186
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[0]:C,7561
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[0]:FCI,6189
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[0]:FCO,5186
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTOO1/genblk1.CUARTO0_cry[0]:S,5330
dot_osd_integration_0/tracker/glbl_max_x[1]:ALn,
dot_osd_integration_0/tracker/glbl_max_x[1]:CLK,6440
dot_osd_integration_0/tracker/glbl_max_x[1]:D,8830
dot_osd_integration_0/tracker/glbl_max_x[1]:EN,5612
dot_osd_integration_0/tracker/glbl_max_x[1]:Q,6440
dot_osd_integration_0/tracker/glbl_max_x[1]:SLn,6676
UART_interface_0/receive_data_0/state_ns_0_a2_2_0[0]:A,5901
UART_interface_0/receive_data_0/state_ns_0_a2_2_0[0]:B,5852
UART_interface_0/receive_data_0/state_ns_0_a2_2_0[0]:Y,5852
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_16:B,6509
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_16:C,5454
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_16:IPB,6509
line_write_read_0/Image_Enhancement_0/un1_g_const_i_muladd_0[35_18]/U0/CFG_16:IPC,5454
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2_0[0]:A,5201
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2_0[0]:B,5152
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2_0[0]:C,5004
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2_0[0]:D,4916
UART_interface_0/COREUART_C0_0/COREUART_C0_0/CUARTO01/CUARTlIll.CUARTIlIl_3_i_0_a2_0[0]:Y,4916
dot_osd_integration_0/tracker/un1_center_x_cry_1:A,
dot_osd_integration_0/tracker/un1_center_x_cry_1:B,
dot_osd_integration_0/tracker/un1_center_x_cry_1:FCI,
dot_osd_integration_0/tracker/un1_center_x_cry_1:FCO,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_6[2]:A,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_6[2]:B,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_6[2]:C,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_6[2]:D,
dot_osd_integration_0/overlay/eng/bcdx/bcd0_6[2]:Y,
dot_osd_integration_0/tracker/un1_center_y_cry_5:A,
dot_osd_integration_0/tracker/un1_center_y_cry_5:B,
dot_osd_integration_0/tracker/un1_center_y_cry_5:FCI,
dot_osd_integration_0/tracker/un1_center_y_cry_5:FCO,
